Column,Set,Benchmark,Result
Cortex-A53,Patch,asmjs-apps-lua_binarytrees-throughput,27255
Cortex-A53,Patch,asmjs-apps-zlib-loadtime,3586
Cortex-A53,Patch,asmjs-apps-zlib-throughput,17438
Cortex-A53,Patch,asmjs-apps-box2d-loadtime,6120
Cortex-A53,Patch,asmjs-apps-box2d-throughput,23701
Cortex-A53,Patch,asmjs-apps-bullet-loadtime,17161
Cortex-A53,Patch,asmjs-apps-bullet-throughput,37203
Cortex-A53,Patch,asmjs-apps-lua_binarytrees-loadtime,4065
Cortex-A53,Patch,asmjs-apps-lua_binarytrees-throughput,27416
Cortex-A53,Patch,asmjs-apps-zlib-loadtime,3587
Cortex-A53,Patch,asmjs-apps-zlib-throughput,17485
Cortex-A53,Patch,asmjs-apps-box2d-loadtime,5648
Cortex-A53,Patch,asmjs-apps-box2d-throughput,23979
Cortex-A53,Patch,asmjs-apps-bullet-loadtime,17147
Cortex-A53,Patch,asmjs-apps-bullet-throughput,37413
Cortex-A53,Patch,asmjs-apps-lua_binarytrees-loadtime,4055
Cortex-A53,Patch,asmjs-apps-lua_binarytrees-throughput,26919
Cortex-A53,Patch,asmjs-apps-zlib-loadtime,3589
Cortex-A53,Patch,asmjs-apps-zlib-throughput,17444
Cortex-A53,Patch,asmjs-ubench-copy,32404
Cortex-A53,Patch,asmjs-ubench-corrections,33826
Cortex-A53,Patch,asmjs-ubench-fannkuch,32065
Cortex-A53,Patch,asmjs-ubench-fasta,86945
Cortex-A53,Patch,asmjs-ubench-life,49938
Cortex-A53,Patch,asmjs-ubench-memops,86972
Cortex-A53,Patch,asmjs-ubench-primes,37466
Cortex-A53,Patch,asmjs-ubench-skinning,172483
Cortex-A53,Patch,asmjs-ubench-copy,32404
Cortex-A53,Patch,asmjs-ubench-corrections,33826
Cortex-A53,Patch,asmjs-ubench-fannkuch,32082
Cortex-A53,Patch,asmjs-ubench-fasta,87094
Cortex-A53,Patch,asmjs-ubench-life,49936
Cortex-A53,Patch,asmjs-ubench-memops,84731
Cortex-A53,Patch,asmjs-ubench-primes,37460
Cortex-A53,Patch,asmjs-ubench-skinning,172595
Cortex-A53,Patch,asmjs-ubench-copy,32855
Cortex-A53,Patch,asmjs-ubench-corrections,33827
Cortex-A53,Patch,asmjs-ubench-fannkuch,32067
Cortex-A53,Patch,asmjs-ubench-fasta,86930
Cortex-A53,Patch,asmjs-ubench-life,49949
Cortex-A53,Patch,asmjs-ubench-memops,87022
Cortex-A53,Patch,asmjs-ubench-primes,37463
Cortex-A53,Patch,asmjs-ubench-skinning,172884
Cortex-A53,Patch,asmjs-ubench-copy,32582
Cortex-A53,Patch,asmjs-ubench-corrections,33826
Cortex-A53,Patch,asmjs-ubench-fannkuch,32082
Cortex-A53,Patch,asmjs-ubench-fasta,86911
Cortex-A53,Patch,asmjs-ubench-life,49962
Cortex-A53,Patch,asmjs-ubench-memops,87003
Cortex-A53,Patch,asmjs-ubench-primes,37461
Cortex-A53,Patch,asmjs-ubench-skinning,172299
Cortex-A53,Patch,asmjs-ubench-copy,32405
Cortex-A53,Patch,asmjs-ubench-corrections,33828
Cortex-A53,Patch,asmjs-ubench-fannkuch,32064
Cortex-A53,Patch,asmjs-ubench-fasta,86929
Cortex-A53,Patch,asmjs-ubench-life,49941
Cortex-A53,Patch,asmjs-ubench-memops,86954
Cortex-A53,Patch,asmjs-ubench-primes,37466
Cortex-A53,Patch,asmjs-ubench-skinning,171706
Cortex-A53,Patch,jetstream-asmjs-bigfib,4851
Cortex-A53,Patch,jetstream-asmjs-container,28689
Cortex-A53,Patch,jetstream-asmjs-dry,6197
Cortex-A53,Patch,jetstream-asmjs-float-mm,9666
Cortex-A53,Patch,jetstream-asmjs-gcc-loops,46774
Cortex-A53,Patch,jetstream-asmjs-n-body,12911
Cortex-A53,Patch,jetstream-asmjs-quicksort,2669
Cortex-A53,Patch,jetstream-asmjs-towers,3906
Cortex-A53,Patch,jetstream-asmjs-bigfib,4548
Cortex-A53,Patch,jetstream-asmjs-container,28318
Cortex-A53,Patch,jetstream-asmjs-dry,6182
Cortex-A53,Patch,jetstream-asmjs-float-mm,9847
Cortex-A53,Patch,jetstream-asmjs-gcc-loops,47083
Cortex-A53,Patch,jetstream-asmjs-n-body,12732
Cortex-A53,Patch,jetstream-asmjs-quicksort,2495
Cortex-A53,Patch,jetstream-asmjs-towers,3738
Cortex-A53,Patch,jetstream-asmjs-bigfib,4690
Cortex-A53,Patch,jetstream-asmjs-container,28380
Cortex-A53,Patch,jetstream-asmjs-dry,6023
Cortex-A53,Patch,jetstream-asmjs-float-mm,9845
Cortex-A53,Patch,jetstream-asmjs-gcc-loops,46778
Cortex-A53,Patch,jetstream-asmjs-n-body,12872
Cortex-A53,Patch,jetstream-asmjs-quicksort,2495
Cortex-A53,Patch,jetstream-asmjs-towers,3751
Cortex-A53,Patch,jetstream-asmjs-bigfib,4693
Cortex-A53,Patch,jetstream-asmjs-container,28849
